Time (ms)   Label 
0.000       9     
33.333      9     
66.666      9     
99.999      9     
133.332     9     
166.665     9     
199.998     9     
233.331     9     
266.664     9     
299.997     9     
333.330     9     
366.663     9     
399.996     9     
433.329     9     
466.662     9     
499.995     9     
533.328     9     
566.661     9     
599.994     9     
633.327     9     
666.660     9     
699.993     9     
733.326     9     
766.659     9     
799.992     9     
833.325     9     
866.658     9     
899.991     9     
933.324     9     
966.657     9     
999.990     9     
1033.323    9     
1066.656    9     
1099.989    9     
1133.322    9     
1166.655    9     
1199.988    9     
1233.321    9     
1266.654    9     
1299.987    9     
1333.320    9     
1366.653    9     
1399.986    9     
1433.319    9     
1466.652    9     
1499.985    9     
1533.318    9     
1566.651    9     
1599.984    9     
1633.317    9     
1666.650    9     
1699.983    9     
1733.316    9     
1766.649    9     
1799.982    9     
1833.315    9     
1866.648    9     
1899.981    9     
1933.314    9     
1966.647    9     
1999.980    9     
2033.313    9     
2066.646    9     
2099.979    9     
2133.312    9     
2166.645    9     
2199.978    9     
2233.311    9     
2266.644    9     
2299.977    9     
2333.310    9     
2366.643    9     
2399.976    9     
2433.309    9     
2466.642    9     
2499.975    9     
2533.308    1     
2566.641    1     
2599.974    1     
2633.307    1     
2666.640    1     
2699.973    1     
2733.306    1     
2766.639    1     
2799.972    1     
2833.305    1     
2866.638    1     
2899.971    1     
2933.304    1     
2966.637    1     
2999.970    1     
3033.303    1     
3066.636    1     
3099.969    1     
3133.302    1     
3166.635    1     
3199.968    1     
3233.301    1     
3266.634    1     
3299.967    1     
3333.300    1     
3366.633    1     
3399.966    1     
3433.299    1     
3466.632    1     
3499.965    1     
3533.298    1     
3566.631    1     
3599.964    1     
3633.297    1     
3666.630    1     
3699.963    1     
3733.296    1     
3766.629    1     
3799.962    1     
3833.295    1     
3866.628    1     
3899.961    1     
3933.294    1     
3966.627    1     
3999.960    1     
4033.293    1     
4066.626    1     
4099.959    1     
4133.292    1     
4166.625    1     
4199.958    1     
4233.291    1     
4266.624    1     
4299.957    1     
4333.290    1     
4366.623    1     
4399.956    1     
4433.289    1     
4466.622    1     
4499.955    1     
4533.288    1     
4566.621    1     
4599.954    1     
4633.287    1     
4666.620    1     
4699.953    1     
4733.286    1     
4766.619    1     
4799.952    1     
4833.285    1     
4866.618    1     
4899.951    1     
4933.284    1     
4966.617    1     
4999.950    1     
5033.283    1     
5066.616    1     
5099.949    1     
5133.282    1     
5166.615    1     
5199.948    1     
5233.281    1     
5266.614    1     
5299.947    1     
5333.280    1     
5366.613    1     
5399.946    1     
5433.279    1     
5466.612    1     
5499.945    1     
5533.278    1     
5566.611    1     
5599.944    1     
5633.277    1     
5666.610    1     
5699.943    1     
5733.276    1     
5766.609    1     
5799.942    1     
5833.275    1     
5866.608    1     
5899.941    1     
5933.274    1     
5966.607    1     
5999.940    1     
6033.273    1     
6066.606    1     
6099.939    1     
6133.272    1     
6166.605    1     
6199.938    1     
6233.271    1     
6266.604    1     
6299.937    1     
6333.270    1     
6366.603    1     
6399.936    1     
6433.269    1     
6466.602    1     
6499.935    1     
6533.268    1     
6566.601    1     
6599.934    1     
6633.267    1     
6666.600    1     
6699.933    1     
6733.266    1     
6766.599    1     
6799.932    1     
6833.265    1     
6866.598    1     
6899.931    1     
6933.264    1     
6966.597    1     
6999.930    1     
7033.263    1     
7066.596    1     
7099.929    1     
7133.262    2     
7166.595    2     
7199.928    2     
7233.261    2     
7266.594    2     
7299.927    2     
7333.260    2     
7366.593    2     
7399.926    2     
7433.259    2     
7466.592    2     
7499.925    2     
7533.258    2     
7566.591    2     
7599.924    2     
7633.257    2     
7666.590    2     
7699.923    2     
7733.256    2     
7766.589    2     
7799.922    2     
7833.255    2     
7866.588    2     
7899.921    2     
7933.254    2     
7966.587    2     
7999.920    2     
8033.253    2     
8066.586    2     
8099.919    2     
8133.252    2     
8166.585    2     
8199.918    2     
8233.251    2     
8266.584    2     
8299.917    2     
8333.250    2     
8366.583    2     
8399.916    2     
8433.249    2     
8466.582    2     
8499.915    2     
8533.248    2     
8566.581    2     
8599.914    2     
8633.247    2     
8666.580    2     
8699.913    2     
8733.246    2     
8766.579    2     
8799.912    2     
8833.245    2     
8866.578    2     
8899.911    2     
8933.244    2     
8966.577    2     
8999.910    2     
9033.243    2     
9066.576    2     
9099.909    2     
9133.242    2     
9166.575    2     
9199.908    2     
9233.241    2     
9266.574    2     
9299.907    2     
9333.240    2     
9366.573    2     
9399.906    2     
9433.239    2     
9466.572    2     
9499.905    2     
9533.238    2     
9566.571    2     
9599.904    2     
9633.237    2     
9666.570    2     
9699.903    2     
9733.236    2     
9766.569    2     
9799.902    2     
9833.235    2     
9866.568    2     
9899.901    2     
9933.234    2     
9966.567    2     
9999.900    2     
10033.233   2     
10066.566   2     
10099.899   2     
10133.232   2     
10166.565   2     
10199.898   2     
10233.231   2     
10266.564   2     
10299.897   2     
10333.230   2     
10366.563   2     
10399.896   2     
10433.229   2     
10466.562   2     
10499.895   2     
10533.228   2     
10566.561   2     
10599.894   2     
10633.227   2     
10666.560   2     
10699.893   2     
10733.226   2     
10766.559   2     
10799.892   2     
10833.225   2     
10866.558   2     
10899.891   2     
10933.224   2     
10966.557   2     
10999.890   2     
11033.223   2     
11066.556   2     
11099.889   2     
11133.222   2     
11166.555   2     
11199.888   2     
11233.221   2     
11266.554   2     
11299.887   2     
11333.220   2     
11366.553   2     
11399.886   2     
11433.219   2     
11466.552   2     
11499.885   2     
11533.218   2     
11566.551   2     
11599.884   2     
11633.217   2     
11666.550   2     
11699.883   2     
11733.216   2     
11766.549   2     
11799.882   2     
11833.215   2     
11866.548   2     
11899.881   2     
11933.214   2     
11966.547   2     
11999.880   2     
12033.213   2     
12066.546   2     
12099.879   2     
12133.212   2     
12166.545   2     
12199.878   2     
12233.211   2     
12266.544   2     
12299.877   2     
12333.210   2     
12366.543   2     
12399.876   2     
12433.209   2     
12466.542   2     
12499.875   2     
12533.208   2     
12566.541   2     
12599.874   2     
12633.207   2     
12666.540   2     
12699.873   2     
12733.206   2     
12766.539   2     
12799.872   2     
12833.205   2     
12866.538   2     
12899.871   2     
12933.204   2     
12966.537   2     
12999.870   2     
13033.203   2     
13066.536   2     
13099.869   2     
13133.202   2     
13166.535   2     
13199.868   2     
13233.201   2     
13266.534   2     
13299.867   2     
13333.200   2     
13366.533   2     
13399.866   2     
13433.199   2     
13466.532   2     
13499.865   2     
13533.198   2     
13566.531   2     
13599.864   2     
13633.197   2     
13666.530   2     
13699.863   2     
13733.196   2     
13766.529   2     
13799.862   2     
13833.195   2     
13866.528   2     
13899.861   2     
13933.194   2     
13966.527   2     
13999.860   2     
14033.193   2     
14066.526   2     
14099.859   2     
14133.192   2     
14166.525   2     
14199.858   3     
14233.191   3     
14266.524   3     
14299.857   3     
14333.190   3     
14366.523   3     
14399.856   3     
14433.189   3     
14466.522   3     
14499.855   3     
14533.188   3     
14566.521   3     
14599.854   3     
14633.187   3     
14666.520   3     
14699.853   3     
14733.186   3     
14766.519   3     
14799.852   3     
14833.185   3     
14866.518   3     
14899.851   3     
14933.184   3     
14966.517   3     
14999.850   3     
15033.183   3     
15066.516   3     
15099.849   3     
15133.182   3     
15166.515   3     
15199.848   3     
15233.181   3     
15266.514   3     
15299.847   3     
15333.180   3     
15366.513   3     
15399.846   4     
15433.179   4     
15466.512   4     
15499.845   4     
15533.178   4     
15566.511   4     
15599.844   4     
15633.177   4     
15666.510   4     
15699.843   4     
15733.176   4     
15766.509   4     
15799.842   4     
15833.175   4     
15866.508   4     
15899.841   4     
15933.174   4     
15966.507   4     
15999.840   4     
16033.173   4     
16066.506   4     
16099.839   4     
16133.172   4     
16166.505   4     
16199.838   4     
16233.171   4     
16266.504   4     
16299.837   4     
16333.170   4     
16366.503   4     
16399.836   4     
16433.169   4     
16466.502   4     
16499.835   4     
16533.168   4     
16566.501   4     
16599.834   4     
16633.167   4     
16666.500   4     
16699.833   4     
16733.166   4     
16766.499   4     
16799.832   4     
16833.165   4     
16866.498   4     
16899.831   4     
16933.164   4     
16966.497   4     
16999.830   4     
17033.163   4     
17066.496   4     
17099.829   4     
17133.162   4     
17166.495   4     
17199.828   4     
17233.161   4     
17266.494   4     
17299.827   4     
17333.160   4     
17366.493   4     
17399.826   4     
17433.159   4     
17466.492   4     
17499.825   4     
17533.158   4     
17566.491   4     
17599.824   4     
17633.157   4     
17666.490   4     
17699.823   4     
17733.156   4     
17766.489   4     
17799.822   7     
17833.155   7     
17866.488   7     
17899.821   7     
17933.154   7     
17966.487   7     
17999.820   7     
18033.153   7     
18066.486   7     
18099.819   7     
18133.152   7     
18166.485   7     
18199.818   7     
18233.151   7     
18266.484   7     
18299.817   7     
18333.150   7     
18366.483   7     
18399.816   7     
18433.149   7     
18466.482   7     
18499.815   7     
18533.148   7     
18566.481   7     
18599.814   7     
18633.147   7     
18666.480   7     
18699.813   7     
18733.146   7     
18766.479   7     
18799.812   7     
18833.145   7     
18866.478   7     
18899.811   7     
18933.144   7     
18966.477   7     
18999.810   7     
19033.143   7     
19066.476   7     
19099.809   7     
19133.142   7     
19166.475   7     
19199.808   7     
19233.141   7     
19266.474   7     
19299.807   7     
19333.140   7     
19366.473   7     
19399.806   7     
19433.139   7     
19466.472   7     
19499.805   7     
19533.138   7     
19566.471   7     
19599.804   7     
19633.137   7     
19666.470   7     
19699.803   7     
19733.136   7     
19766.469   7     
19799.802   7     
19833.135   7     
19866.468   7     
19899.801   7     
19933.134   7     
19966.467   7     
19999.800   7     
20033.133   7     
20066.466   7     
20099.799   7     
20133.132   7     
20166.465   7     
20199.798   7     
20233.131   7     
20266.464   7     
20299.797   7     
20333.130   7     
20366.463   7     
20399.796   7     
